w0 0.254888
w1 0.286474
w2 0.286069
w3 0.212174
w4 0.142633
w5 0.105000
w6 0.257179
w7 0.264247
w8 0.256351
w9 0.155600
w10 0.267593
w11 0.250779
w12 0.167833
w13 0.161833
w14 0.196123
w15 0.284098
w16 0.156343
w17 0.171038
w18 0.225183
w19 0.240398
w20 0.142218
w21 0.151518
w22 0.213464
w23 0.288455
w24 0.316081
w25 0.302029
w26 0.190479
w27 0.141503
w28 0.136939
w29 0.237148
w30 0.166896
w31 0.195339
t0 0.140608
t1 0.182495
t2 0.153922
t3 0.155484
t4 0.153989
t5 0.158695
t6 0.122755
t7 0.137202
t8 0.177846
t9 0.197448
t10 0.138478
t11 0.172198
t12 0.176389
t13 0.140772
t14 0.214863
t15 0.177711
t16 0.175058
t17 0.185895
t18 0.172182
t19 0.180302
t20 0.136303
t21 0.182308
t22 0.136309
t23 0.200075
t24 0.184213
t25 0.139971
t26 0.154040
t27 0.147480
t28 0.170636
t29 0.124360
t30 0.127790
t31 0.166608
w00 0.210531
w01 0.312874
w02 0.336245
w03 0.151992
w04 0.197142
w05 0.233683
w06 0.338328
w07 0.333587
w08 0.288531
w09 0.195437
w010 0.248052
w011 0.167730
w012 0.303958
w013 0.145097
w014 0.227836
w015 0.158978
w016 0.199668
w017 0.206895
w018 0.217228
w019 0.305277
w020 0.249731
w021 0.281444
w022 0.267562
w023 0.319557
w024 0.140565
w025 0.156410
w026 0.171841
w027 0.269019
w028 0.247411
w029 0.211790
w030 0.203442
w031 0.293296
w10 0.207153
w11 0.150667
w12 0.176385
w13 0.155050
w14 0.126539
w15 0.238398
w16 0.178922
w17 0.314669
w18 0.177615
w19 0.175294
w110 0.305760
w111 0.289278
w112 0.181128
w113 0.303537
w114 0.316581
w115 0.335814
w116 0.236341
w117 0.337243
w118 0.328126
w119 0.151389
w120 0.308945
w121 0.171152
w122 0.227196
w123 0.194538
w124 0.257009
w125 0.234215
w126 0.283529
w127 0.150527
w128 0.270985
w129 0.233672
w130 0.253132
w131 0.251698
w20 0.236814
w21 0.235298
w22 0.338236
w23 0.154864
w24 0.289639
w25 0.330469
w26 0.336875
w27 0.315790
w28 0.156012
w29 0.208022
w210 0.249620
w211 0.198473
w212 0.301234
w213 0.202814
w214 0.207232
w215 0.150058
w216 0.330127
w217 0.253796
w218 0.244470
w219 0.329419
w220 0.197944
w221 0.274156
w222 0.202362
w223 0.273309
w224 0.263380
w225 0.197726
w226 0.238482
w227 0.235925
w228 0.323506
w229 0.254035
w230 0.218225
w231 0.253562
w30 0.260358
w31 0.301657
w32 0.174198
w33 0.277059
w34 0.282187
w35 0.233676
w36 0.184084
w37 0.300663
w38 0.203810
w39 0.249679
w310 0.316887
w311 0.329959
w312 0.219588
w313 0.299630
w314 0.319449
w315 0.160156
w316 0.148995
w317 0.303064
w318 0.313918
w319 0.329710
w320 0.279837
w321 0.307663
w322 0.295245
w323 0.239802
w324 0.326965
w325 0.162753
w326 0.230675
w327 0.187626
w328 0.338288
w329 0.328033
w330 0.306390
w331 0.150805
w40 0.206790
w41 0.162856
w42 0.318580
w43 0.295462
w44 0.307516
w45 0.185420
w46 0.231569
w47 0.191758
w48 0.278654
w49 0.230796
w410 0.246597
w411 0.237998
w412 0.164206
w413 0.342182
w414 0.223369
w415 0.279839
w416 0.317418
w417 0.225717
w418 0.341509
w419 0.242443
w420 0.213108
w421 0.162297
w422 0.182463
w423 0.241472
w424 0.250881
w425 0.338208
w426 0.336788
w427 0.178573
w428 0.254334
w429 0.249042
w430 0.279929
w431 0.310756
t0 0.165480
t1 0.149399
t2 0.129708
t3 0.111687
t4 0.182950
w00 -0.776909
w01 -0.764328
w02 -0.900614
w03 -0.893542
w04 -0.816652
w10 -0.385617
w11 -0.298189
w12 -0.366223
w13 -0.366595
w14 -0.502024
t0 1.316648
t1 0.440003
